example_number,example,context,numeral,noun,standard,expression,pattern,num_type,num_semantics,noun_semantics,wo,mass_noun,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection
1,... вот... и вот вы знаете {{сколько}} там костей было...,сколько костей,сколько,костей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
2,... и вот эта ... вот это дерево ... вот в деревне {{много}} деревьев было тут.,много деревьев,много,деревьев,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
3,"...а я прийду заберу вот так"". и они вот так вот и выжили , а вообще же люди очень {{много}} умерло.",люди очень много,много,люди,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,Imena2 (gak) [2011],online-corpus_202104
4,"""Норма {{три}} листа, а у тебя,-говорит,- всего полтора листа.""",три листа,три,листа,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
5,"""Норма три листа, а у тебя,-говорит,- всего {{полтора}} листа.""",полтора листа,полтора,листа,standard,gen_sg,rus,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
6,"{{10}} дней,говорю, училась музейному делу",десять дней,десять,дней,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
7,"{{11}} лет, после {{4}} класса я пошла...",одиннадцать лет,одиннадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
8,{{15}} лет писала..,пятнадцать лет,пятнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
9,{{15}} лет ушло на эту книгу памяти...,пятнадцать лет,пятнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
10,{{60}} лет никто не трогал этих архивов...,шестьдесят лет,шестьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
