example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
Мм нас нас... у матери {{трое}},excluded,нас трое,pronoun,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] \n [aam] Мм нас нас... у матери {{трое}}
А потом выщ=...высчитывали {{сколько}} у кого чего,excluded,сколько чего,pronoun,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] А потом выщ=...высчитывали {{сколько}} у кого чего
Вот {{четверо}} мы жили... с ней,excluded,четверо мы,pronoun,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] \n [aam] Вот {{четверо}} мы жили... с ней
"Потом... как... мужчины, мужчины ... их {{четверо/}} было: Б[орис] И[ван]ович\/ мой, это как его, И[ван] П[ал]ыч\/ В[алера]\/ и кто еще ... В[алера]\/",excluded,их четверо,pronoun,,,,,,,,,,,,,,Novaja Ferma,F,secondary (specialized),Ulcha,aid,1931,Puteshestvija-1 (aid) [2017],online-corpus_202104,"[pob: Novaja Ferma; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: aid; yob: 1931] Потом... как... мужчины, мужчины ... их {{четверо/}} было: Б[орис] И[ван]ович\/ мой, это как его, И[ван] П[ал]ыч\/ В[алера]\/ и кто еще ... В[алера]\/"
Нас {{трое}} дружно,excluded,нас трое,pronoun,,,,,,,,,,,,,,Novaja Ferma,F,secondary (specialized),Ulcha,aid,1931,Puteshestvija-1 (aid) [2017],online-corpus_202104,[pob: Novaja Ferma; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: aid; yob: 1931] Нас {{трое}} дружно
И нас было восемь,,нас восемь,pronoun,,,standard,,,,,,,,,,,Troitskoje,F,secondary,Nanai,gak,1961,gld_gak_110806_so_dialekty-rus_20210222_ek.eaf,elan_pract_202102,
"так там тоже {{много}} чего (...) Мария Борисовна , Константиновича жена , которого",,много чего,pronoun,,,,,,,,,,,,,,Troitskoje,F,secondary,Nanai,gak,1961,nani eda i prazdniki (gak) [2011],online-corpus_202104,"[pob: Troitskoje; gender: F; edu: secondary; lng: Nanai; speaker: gak; yob: 1961] \n [gak] так там тоже {{много}} чего (...) Мария Борисовна , Константиновича жена , которого"
Нас {{трое/}} было\,excluded,нас трое,pronoun,,,,,,,,,,,,,,Kadaki camp,F,secondary (specialized),Ulcha,gip,1934,DedChuringa (gip) [2017],online-corpus_202104,[pob: Kadaki camp; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gip; yob: 1934] Нас {{трое/}} было\
Ой {{сколько}} ииих,excluded,сколько их,pronoun,,,,,,,,,,,,,,Ukhta,F,secondary (specialized),Ulcha,inu,1937,RazgovoryVaria (inu&mav) [2020],online-corpus_202104,[pob: Ukhta; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: inu; yob: 1937] \n [inu] Ой {{сколько}} ииих
А его нельзя {{много}} пить вот это,,его много,pronoun,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,RybjaKozhaITravyPokaz (itg) [2013],online-corpus_202104,[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] А его нельзя {{много}} пить вот это
Да картошка {{много}} чего лечит,,много чего,pronoun,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,RybjaKozhaITravyPokaz (itg) [2013],online-corpus_202104,[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] Да картошка {{много}} чего лечит
